objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
achebe_pfp,achebe_pfp.jpg,,"Achebe, Chinua (1930-2013)",image/jpg,"Chinua Achebe was a Nigerian novelist and poet most well known for his first novel <em>Things Fall Apart</em>, its sequel <em>No Longer at Ease</em>, and his fifth novel <em>Anthills of the Savannah</em>. Achebe’s first novel is the most widely read and translated African novel of all time, which earned him the title of father of modern African literature. Achebe received several literary awards during his lifetime, including the first Commonwealth Poetry Prize and the Man Booker International Prize in 2007. Achebe’s writing heavily criticizes westernization and British colonialism in Nigeria, as well as inaccurate and racist depictions of Africa in western literature.<br/><br/>

He is also not afraid to criticize Africans on their lack of resistance against colonialism. In <em>Things Fall Apart</em>, Achebe tells the story of Okonkwo, who finds himself fighting against British missionaries and colonists in his village. When he suggests that they fight back, and he does by beheading a messenger, no one else fights with him. He quickly realizes he is one of the only ones resisting colonialism and conversion. In the sequel <em>No Longer at Ease</em>, Okonkwo’s grandson Obi, struggles with his Igbo identity as he becomes more westernized. He is tried in a colonial court for taking a bribe, a similar commentary on the fact that straying away from his Igbo traditions for western beliefs led to his corruption.",Student A,,1930/2013,,biographic photo,"Authors, NIgerian; Nigerian literature ( English); ",Nigeria,6.15,6.866667,thingsfall_pfp; ,,,,,,,,Still Image,eng,
anansi_pfp,anansi_pfp.jpg,,Anansi (Legendary character),image/jpg,,,,,,,,,,,,,,,,,,,,eng,
apartheid_pfp,apartheid_pfp.jpg,,Apartheid,image/jpg,,,,,,,,,,,,,,,,,,,,,
fishermen_pfp,fishermen_pfp.jpg,,<em>The Fishermen</em> (2015),image/jpg,,,,,,,,,,,,,,,,,,,,,
griot_pfp,griot_pfp.jpg,,griot,image/jpg,,,,,,,,,,,,,,,,,,,,,
gyasi_pfp,gyasi_pfp.jpg,,"Gyasi, Yaa (1989-)",image/jpg,,,,,,,,,,,,,,,,,,,,,
homegoing_pfp,homegoing_pfp.jpg,,<em>Homegoing</em> (2016),image/jpg,,,,,,,,,,,,,,,,,,,,,
krar_pfp,krar_pfp.jpg,,krar,image/jpg,,,,,,,,,,,,,,,,,,,,,
mashile_pfp,mashile_pfp.jpg,,"Mashile, Lebogang (1979-)",image/jpg,,,,,,,,,,,,,,,,,,,,,
mbue_pfp,mbue_pfp.jpg,,"Mbue, Imbolo (1981-)",image/jpg,,,,,,,,,,,,,,,,,,,,,
mirasse_pfp,mirasse_pfp.jpg,,mirasse,image/jpg,,,,,,,,,,,,,,,,,,,,,
ribbon_pfp,ribbon_pfp.jpg,,"""Tomorrow's Daughters"" (2005)",image/jpg,,,,,,,,,,,,,,,,,,,,,
soueif_pfp,soueif_pfp.jpg,,"Soueif, Ahdaf (1950-)",image/jpg,"Ahdaf Soueif is an extremely prevalent author from the country of Egypt, born in Cairo. Some of her most popular novels include <em>The Eye of the Sun</em> which was published in 1993 and her most famous novel <em>The Map of Love</em> published in 1999 selling over one million copies. Soueif has quite a bit of variety in her writing, she writes both novels and short stories as well as fiction and nonfiction. The <em>The Eye of the Sun</em> was a fictional story about a Young Egyptian woman named Asya, who was coming of age finding her comfort and grounding herself in her passion of art. Ahdaf’s style and focus is primarily on Egyptian culture, history, and politics. This should not come as a surprise considering she is also an activist and has written for the Guardian as a political commentator throughout the Egyptian Revolution. She even wrote about her own experience in the Egyptian Revolution in 2012 titled <em>Cairo: My City, Our Revolution</em>. Ahdaf is also the founding chair of the Palestine Festival of Literature in 2008. Throughout her time, she has written countless novels and short stories that have been published by well-known companies and organizations leading her to become very successful winning awards such as Inaugural Mahmoud Darwish Award, Cavafy Award and was named in The Guardian′s Books Power 100.",,,1950,,,,,,,,,,,,,,,,,
thingsfall_pfp,thingsfall_pfp.jpg,,<em>Things Fall Apart</em> (1958),image/jpg,"First published in 1958, the novel recounts the story of Okonkwo, an Igbo wrestler that rose to power as a leader of the Umuofia villages. After accidentally shooting a tribal leader’s son, Okownko is exiled for seven years to his mother’s native village. During his time there, Okonkwo experiences the arrival of British missionaries that attempt to convert and colonize his people. They live mostly in peace until the arrival of Reverend James Smith, a much more strict and prejudiced man. After an Igbo convert named Enoch unmasks a village leader representing an ancestral spirit during a sacred ceremony, the church and compound are burned in retaliation.<br/><br/>

The village leaders are then arrested by the British, but when they are released Okonkwo suggests that they fight back during a meeting, expecting them to agree. Okwonko kills a messenger but then quickly realizes that his fellow leaders will not fight with him. Before being tried by a colonial court, Okonkwo hangs himself, something that is considered a sin. The novel is praised for its criticism of British colonialism through the perspective of an African person, and is regarded as an accurate depiction of Igbo culture. It remains the most widely studied and translated African novel of all time, and was one of the first African novels to be critically acclaimed worldwide.",,,,,,,,,,,,,,,,,,,,
tram83_pfp,tram83_pfp.jpg,,<em>Tram 83</em> (2015),image/jpg,,,,,,,,,,,,,,,,,,,,,
transcendent_pfp,transcendent_pfp.jpg,,<em>Transcendent Kingdom</em> (2020),image/jpg,,,,,,,,,,,,,,,,,,,,,
